MAE,MSE,RMSE,MAPE
406.871742510799,241901.14256711863,491.83446663193365,11.936129519479985
503.72305941179803,410234.1671724119,640.4952514831097,15.428715415051103
679.3140424085793,545687.5754443337,738.7066910786268,19.761714104611755
701.4710062135205,582560.5784380207,763.2565613461968,20.783368810543006
925.9305385704535,976903.4745770525,988.3842747520079,27.643923748984072
